source_file,file_name,session,quadrant,label,packet_count,valid_packet_count,subcarrier_count,duration_seconds,sampling_rate_hz,sequence_gaps,mean_rssi
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p001_20260718_161458.bin,empty_session_01_quad1_p001_20260718_161458.bin,session_01,quad1,empty,500,500,128,9.980357885360718,49.998207051466345,0,-46.734
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p005_20260718_161648.bin,empty_session_01_quad1_p005_20260718_161648.bin,session_01,quad1,empty,500,500,128,9.979963779449463,50.00018146634265,0,-46.918
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p009_20260718_161837.bin,empty_session_01_quad1_p009_20260718_161837.bin,session_01,quad1,empty,479,479,128,9.983565092086792,47.87868818312949,0,-46.95198329853862
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p010_20260718_161904.bin,empty_session_01_quad1_p010_20260718_161904.bin,session_01,quad1,empty,500,500,128,9.980041027069092,49.99979445440665,0,-46.462
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p014_20260718_162054.bin,empty_session_01_quad1_p014_20260718_162054.bin,session_01,quad1,empty,500,500,128,9.980305910110474,49.99846743119285,0,-47.006
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p018_20260718_162243.bin,empty_session_01_quad1_p018_20260718_162243.bin,session_01,quad1,empty,500,500,128,9.973634958267212,50.03190933776613,0,-46.298
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p019_20260718_162311.bin,empty_session_01_quad1_p019_20260718_162311.bin,session_01,quad1,empty,500,500,128,9.98104190826416,49.994780563623834,0,-46.04
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p023_20260718_162500.bin,empty_session_01_quad1_p023_20260718_162500.bin,session_01,quad1,empty,500,500,128,9.983126878738403,49.98433918161923,0,-46.026
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p027_20260718_162649.bin,empty_session_01_quad1_p027_20260718_162649.bin,session_01,quad1,empty,470,470,128,9.603221893310547,48.83777603084419,0,-47.00425531914894
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\empty\empty_session_01_quad1_p028_20260718_162717.bin,empty_session_01_quad1_p028_20260718_162717.bin,session_01,quad1,empty,470,470,128,9.980300188064575,46.99257448797746,0,-46.223404255319146
